"comid","variable","n_years","value_mean","ols_slope","ols_pvalue","mk_tau","mk_pvalue","sen_slope","sen_slope_rel","trend_direction"
620847946,"pop_density",9,27.5509939892057,0.284952122422568,1.53927170956953e-05,1,0.000263260802703515,1.24722815931751,4.52698062293566,"aumento"
620847946,"population",9,406.784193250868,4.20725362141926,1.5392717095696e-05,1,0.000263260802703515,18.4150416056312,4.52698062293549,"aumento"
620847980,"pop_density",9,0.0411606676210701,0.00109796473235036,5.4686741881194e-07,1,0.000263260802703515,0.00568626786130862,13.8148095984668,"aumento"
620847980,"population",9,0.17849049386051,0.00476125093797844,5.46867418811909e-07,1,0.000263260802703515,0.0246581218781926,13.8148095984669,"aumento"
620847987,"pop_density",9,1346.56837222317,9.75368935802707,5.46775691880836e-05,1,0.000263260802703515,45.2073644746375,3.35722755763233,"aumento"
620847987,"population",9,747.650892469618,5.41551005045573,5.46775691880675e-05,1,0.000263260802703515,25.1003417968752,3.35722755763248,"aumento"
620847998,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620847998,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620849365,"pop_density",9,0.959797138062363,0.0137554773718981,7.79324430916607e-05,0.833333333333333,0.00249902885761126,0.0741671351759223,7.72737615426222,"aumento"
620849365,"population",9,9.48235289255778,0.135897769927979,7.79324430916579e-05,0.833333333333333,0.00249902885761126,0.732737076282505,7.72737615426223,"aumento"
620849367,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620849367,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620849368,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620849368,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620849369,"pop_density",9,0.231449602269125,0.00651699047385599,1.14794592366967e-05,0.944444444444444,0.000580666545949214,0.0318214050883501,13.7487404499183,"aumento"
620849369,"population",9,0.0641149696376588,0.00180530293534199,1.14794592366965e-05,0.944444444444444,0.000580666545949214,0.00881500076502563,13.7487404499183,"aumento"
620849394,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620849394,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620850743,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620850743,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620850744,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620850744,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620850771,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620850771,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620852113,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620852113,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620852120,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620852120,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620852123,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620852123,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620852125,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620852125,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620853501,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620853501,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620853510,"pop_density",9,1.92164700376919,0.0207673893277839,3.83768428107512e-05,0.944444444444444,0.000580666545949214,0.104311114749481,5.42821415925405,"aumento"
620853510,"population",9,14.2192294862535,0.153668324152628,3.83768428107449e-05,0.944444444444444,0.000580666545949214,0.771850228309625,5.42821415925394,"aumento"
620853536,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620853536,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620854859,"pop_density",9,9.1755078025824,0.0667029075690005,0.0346751792882305,0.555555555555556,0.0476039547278715,0.342160890125378,3.72906761660732,"aumento"
620854859,"population",9,34.2278690338135,0.248825289408367,0.0346751792882305,0.555555555555556,0.0476039547278715,1.27638037999472,3.72906761660736,"aumento"
620854908,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620854908,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620856253,"pop_density",9,2.06946260575296,0.034025906144521,2.41212093747403e-05,0.888888888888889,0.00122938491894486,0.178867446096076,8.64318328820426,"aumento"
620856253,"population",9,26.9979856279161,0.443898296356201,2.41212093747398e-05,0.888888888888889,0.00122938491894486,2.33348538194383,8.64318328820426,"aumento"
620856255,"pop_density",9,87.677192822831,0.981860209028493,6.45639238224212e-07,1,0.000263260802703515,4.92037992156796,5.61192684568557,"aumento"
620856255,"population",9,2459.30539279514,27.5407324218751,6.45639238224101e-07,1,0.000263260802703515,138.014419555664,5.61192684568561,"aumento"
620857620,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620857620,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620857629,"pop_density",9,6.12664691164626,0.137342813249061,1.20688273529183e-08,1,0.000263260802703515,0.694094608304448,11.3291106589647,"aumento"
620857629,"population",9,147.610500759549,3.30902722676595,1.206882735292e-08,1,0.000263260802703515,16.722956975301,11.3291106589646,"aumento"
620857635,"pop_density",9,8.22555225120406,0.175942155861371,2.22267897013952e-07,1,0.000263260802703515,0.878680434848131,10.6823275570283,"aumento"
620857635,"population",9,19.0421798494127,0.407306655248006,2.22267897013934e-07,1,0.000263260802703515,2.03414802551269,10.6823275570282,"aumento"
620858957,"pop_density",9,547.034853839244,8.54821866285702,4.93943781498996e-10,1,0.000263260802703515,42.4662272264579,7.76298382606117,"aumento"
620858957,"population",9,9403.91596137153,146.949923502604,4.93943781499019e-10,1,0.000263260802703515,730.024475097656,7.76298382606117,"aumento"
620858999,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620858999,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620859003,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620859003,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620859005,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620859005,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620859011,"pop_density",9,0.993798408637393,0.0114614939326606,0.00335381529215077,0.666666666666667,0.0164886567276701,0.0624348316891022,6.28244432134957,"aumento"
620859011,"population",9,5.91859017478095,0.0682592010498047,0.00335381529215079,0.666666666666667,0.0164886567276701,0.371832132339478,6.28244432134955,"aumento"
620859032,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620859032,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620860352,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620860352,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620860360,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620860360,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620860367,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620860367,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620860375,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620860375,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620860380,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620860380,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620860381,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620860381,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620861702,"pop_density",9,135.416371505041,1.7566490356693,1.92756952890766e-11,1,0.000263260802703515,8.84000559749741,6.52801836236496,"aumento"
620861702,"population",9,1083.19239637587,14.0513946533203,1.9275695289052e-11,1,0.000263260802703515,70.7109985351555,6.52801836236476,"aumento"
620861736,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620861736,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620861742,"pop_density",9,0.069650090630007,0.00153954037727564,1.11621396027611e-07,1,0.000263260802703515,0.00735264754005665,10.5565512888061,"aumento"
620861742,"population",9,1.48709895875719,0.032870723803838,1.11621396027613e-07,1,0.000263260802703515,0.156986364296504,10.5565512888061,"aumento"
620861751,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620861751,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620861756,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620861756,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620861757,"pop_density",9,0.656765748343884,0.0049566508386375,0.0156808376098152,0.611111111111111,0.028567681801513,0.0298708967548617,4.54818127013853,"aumento"
620861757,"population",9,4.68292119767931,0.0353422896067301,0.0156808376098152,0.611111111111111,0.028567681801513,0.212987744808197,4.54818127013852,"aumento"
620861761,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620861761,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620861764,"pop_density",9,1.86476887653038,0.0275090732961721,0.00726823947885958,0.611111111111111,0.028567681801513,0.120909592354166,6.48389158977882,"aumento"
620861764,"population",9,1.64120550950368,0.0242110661665598,0.00726823947885992,0.611111111111111,0.028567681801513,0.106413986001696,6.48389158977881,"aumento"
620861765,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620861765,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620863078,"pop_density",9,73.3862620683086,0.954540811793123,1.01014122832226e-09,1,0.000263260802703515,4.77479262698116,6.50638483608382,"aumento"
620863078,"population",9,1636.36518012153,21.2843290201823,1.01014122832309e-09,1,0.000263260802703515,106.468215942382,6.50638483608381,"aumento"
620863105,"pop_density",9,0.135052859575245,0.000897060892847437,1.12573305666835e-05,0.888888888888889,0.00122938491894486,0.00438838598447354,3.2493839806691,"aumento"
620863105,"population",9,3.05345959133572,0.020281978448232,1.12573305666837e-05,0.888888888888889,0.00122938491894486,0.0992186268170662,3.24938398066907,"aumento"
620863106,"pop_density",9,1.99524953628165,0.000168952394735228,0.9398883701701,0.166666666666667,0.602167527748196,0.0122001727546841,0.61146099938058,"sin tendencia"
620863106,"population",9,20.8745043012831,0.00176759719848632,0.9398883701701,0.166666666666667,0.602167527748196,0.127639452616371,0.611460999380595,"sin tendencia"
620863118,"pop_density",9,68.8411208736196,2.04284094383144,1.54560193542583e-07,1,0.000263260802703515,10.4789589568434,15.2219470337808,"aumento"
620863118,"population",9,630.910261366102,18.7220849609374,1.54560193542584e-07,1,0.000263260802703515,96.0368258158366,15.2219470337809,"aumento"
620863127,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620863127,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620863132,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620863132,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620863137,"pop_density",9,7.89510863521627,0.200005429241428,5.46627643834367e-08,1,0.000263260802703515,0.999455564158756,12.6591743107963,"aumento"
